State,State_Code,2020,2021,2022
Alabama,AL,"5,031,362","5,049,846","5,074,296"
Alaska,AK,"732,923","734,182","733,583"
Arizona,AZ,"7,179,943","7,264,877","7,359,197"
Arkansas,AR,"3,014,195","3,028,122","3,045,637"
California,CA,"39,501,653","39,142,991","39,029,342"
Colorado,CO,"5,784,865","5,811,297","5,839,926"
Connecticut,CT,"3,597,362","3,623,355","3,626,205"
Delaware,DE,"992,114","1,004,807","1,018,396"
District of Columbia,DC,"670,868","668,791","671,803"
Florida,FL,"21,589,602","21,828,069","22,244,823"
Georgia,GA,"10,729,828","10,788,029","10,912,876"
Hawaii,HI,"1,451,043","1,447,154","1,440,196"
Idaho,ID,"1,849,202","1,904,314","1,939,033"
Illinois,IL,"12,786,580","12,686,469","12,582,032"
Indiana,IN,"6,788,799","6,813,532","6,833,037"
Iowa,IA,"3,190,571","3,197,689","3,200,517"
Kansas,KS,"2,937,919","2,937,922","2,937,150"
Kentucky,KY,"4,507,445","4,506,589","4,512,310"
Louisiana,LA,"4,651,664","4,627,098","4,590,241"
Maine,ME,"1,363,557","1,377,238","1,385,340"
Maryland,MD,"6,173,205","6,174,610","6,164,660"
Massachusetts,MA,"6,995,729","6,989,690","6,981,974"
Michigan,MI,"10,069,577","10,037,504","10,034,113"
Minnesota,MN,"5,709,852","5,711,471","5,717,184"
Mississippi,MS,"2,958,141","2,949,586","2,940,057"
Missouri,MO,"6,153,998","6,169,823","6,177,957"
Montana,MT,"1,087,075","1,106,227","1,122,867"
Nebraska,NE,"1,962,642","1,963,554","1,967,923"
Nevada,NV,"3,115,648","3,146,402","3,177,772"
New Hampshire,NH,"1,378,587","1,387,505","1,395,231"
New Jersey,NJ,"9,271,689","9,267,961","9,261,699"
New Mexico,NM,"2,118,390","2,116,677","2,113,344"
New York,NY,"20,108,296","19,857,492","19,677,151"
North Carolina,NC,"10,449,445","10,565,885","10,698,973"
North Dakota,ND,"779,518","777,934","779,261"
Ohio,OH,"11,797,517","11,764,342","11,756,058"
Oklahoma,OK,"3,964,912","3,991,225","4,019,800"
Oregon,OR,"4,244,795","4,256,301","4,240,137"
Pennsylvania,PA,"12,994,440","13,012,059","12,972,008"
Rhode Island,RI,"1,096,345","1,096,985","1,093,734"
South Carolina,SC,"5,131,848","5,193,266","5,282,634"
South Dakota,SD,"887,799","896,164","909,824"
Tennessee,TN,"6,925,619","6,968,351","7,051,339"
Texas,TX,"29,232,474","29,558,864","30,029,572"
Utah,UT,"3,283,785","3,339,113","3,380,800"
Vermont,VT,"642,893","646,972","647,064"
Virginia,VA,"8,636,471","8,657,365","8,683,619"
Washington,WA,"7,724,031","7,740,745","7,785,786"
West Virginia,WV,"1,791,420","1,785,526","1,775,156"
Wisconsin,WI,"5,896,271","5,880,101","5,892,539"
Wyoming,WY,"577,605","579,483","581,381"
